,,,,,,,,,,,,,,,,Back to 'Table of Contents'
"Number of Licensed Electrical, Gas Service and Cable Detection Workers, 2005 - 2020",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,,,,,,,,
Total," 6,672 "," 6,382 "," 5,946 "," 5,878 "," 5,868 "," 5,761 "," 5,705 "," 5,580 "," 5,270 "," 5,219 "," 5,251 "," 5,254 "," 5,264 "," 5,308 "," 5,333 "," 5,261 "
,,,,,,,,,,,,,,,,
Electricians," 4,101 "," 3,925 "," 3,576 "," 3,426 "," 3,420 "," 3,341 "," 3,293 "," 3,211 "," 2,955 "," 2,900 "," 2,902 "," 2,869 ",2836," 2,837 "," 2,840 "," 2,777 "
Technicians," 1,299 "," 1,247 "," 1,200 "," 1,188 "," 1,183 "," 1,163 "," 1,143 "," 1,119 "," 1,074 "," 1,073 "," 1,080 "," 1,100 ",1117," 1,132 "," 1,150 "," 1,152 "
Engineers, 343 , 326 , 324 , 318 , 309 , 308 , 305 , 291 , 293 , 296 , 296 , 300 ,307, 313 , 317 , 315 
Gas Service Workers, 401 , 391 , 374 , 372 , 359 , 359 , 357 , 354 , 354 , 347 , 359 , 362 ,367, 366 , 347 , 338 
Gas Service Workers (Restricted), na , na , na , 113 , 147 , 146 , 177 , 192 , 201 , 213 , 233 , 247 ,259, 270 , 279 , 266 
Cable Detection Workers, 528 , 493 , 472 , 461 , 450 , 444 , 430 , 413 , 393 , 390 , 381 , 376 ,378, 390 , 400 , 413 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Source: Energy Market Authority (EMA)
,,,,,,,,,,,,,,,,
Notations:,,,,,,,,,,,,,,,,
" - nil, negligible or not applicable.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,